nome_produtor,cpf_cnpj,whatsapp,url_boleto_file,data_vencimento,Valor
Barney Gumble,372.681.036-40,5511960132316,https://actana.com.br/wp-content/uploads/site/gerar-boleto-com-codigo-de-barras.png,08/30/23,"18112,5"
Bart Simpson,126.192.557-74,5511960132317,https://actana.com.br/wp-content/uploads/site/gerar-boleto-com-codigo-de-barras.png,01/02/23,1890
Maggie Simpson,944.605.499-89,5511960132318,https://actana.com.br/wp-content/uploads/site/gerar-boleto-com-codigo-de-barras.png,01/02/23,"68643,75"
Carl Carlson,000.000.000-00,5511960132319,https://actana.com.br/wp-content/uploads/site/gerar-boleto-com-codigo-de-barras.png,01/02/23,31500
Lenny Leonard,691.088.732-06,5511960132320,https://actana.com.br/wp-content/uploads/site/gerar-boleto-com-codigo-de-barras.png,01/10/23,22500
Professor Frink,404.956.631-98,5511960132321,https://actana.com.br/wp-content/uploads/site/gerar-boleto-com-codigo-de-barras.png,03/30/23,"44977,64"
Professor Frink,404.956.631-98,5511960132322,https://actana.com.br/wp-content/uploads/site/gerar-boleto-com-codigo-de-barras.png,03/30/23,"9795,13"
Groundskeeper Willie,113.684.470-81,5511960132323,https://actana.com.br/wp-content/uploads/site/gerar-boleto-com-codigo-de-barras.png,03/30/23,19200
Chief Wiggum,170.921.332-06,5511960132324,https://actana.com.br/wp-content/uploads/site/gerar-boleto-com-codigo-de-barras.png,03/30/23,40800
Chief Wiggum,170.921.332-06,5511960132325,https://actana.com.br/wp-content/uploads/site/gerar-boleto-com-codigo-de-barras.png,03/30/23,24000
Comic Book Guy,118.551.970-97,5511960132326,https://actana.com.br/wp-content/uploads/site/gerar-boleto-com-codigo-de-barras.png,04/20/23,30852
Sideshow Bob,832.416.703-28,5511960132327,https://actana.com.br/wp-content/uploads/site/gerar-boleto-com-codigo-de-barras.png,02/28/23,6360
Reverend Lovejoy,122.356.879-25,5511960132328,https://actana.com.br/wp-content/uploads/site/gerar-boleto-com-codigo-de-barras.png,07/30/23,15600
Apu Nahasapeemapetilon,187.545.755-36,5511960132329,https://actana.com.br/wp-content/uploads/site/gerar-boleto-com-codigo-de-barras.png,03/30/23,"612,25"
Apu Nahasapeemapetilon,187.545.755-36,5511960132330,https://actana.com.br/wp-content/uploads/site/gerar-boleto-com-codigo-de-barras.png,03/30/23,"20286,04"
Nelson Muntz,625.237.117-41,5511960132331,https://actana.com.br/wp-content/uploads/site/gerar-boleto-com-codigo-de-barras.png,08/30/23,"113,07"
Jasper Beardly,282.064.392-30,5511960132332,https://actana.com.br/wp-content/uploads/site/gerar-boleto-com-codigo-de-barras.png,03/30/23,"1481,54"
Edna Krabappel,859.303.934-34,5511960132333,https://actana.com.br/wp-content/uploads/site/gerar-boleto-com-codigo-de-barras.png,08/30/23,"67369,49"
Mayor Quimby,524.671.737-64,5511960132334,https://actana.com.br/wp-content/uploads/site/gerar-boleto-com-codigo-de-barras.png,03/30/23,"4302,82"
Cletus Spuckler,102.465.438-94,5511960132335,https://actana.com.br/wp-content/uploads/site/gerar-boleto-com-codigo-de-barras.png,08/30/23,"19931,06"
Professor Jonathan Frink,313.972.214-21,5511960132336,https://actana.com.br/wp-content/uploads/site/gerar-boleto-com-codigo-de-barras.png,03/30/23,"76778,05"
Barney Gumble,886.954.339-98,5511960132337,https://actana.com.br/wp-content/uploads/site/gerar-boleto-com-codigo-de-barras.png,08/30/23,"9477,32"
Dr. Hibbert,113.599.088-97,5511960132338,https://actana.com.br/wp-content/uploads/site/gerar-boleto-com-codigo-de-barras.png,03/30/23,"16846,33"
Rainier Wolfcastle,331.945.274-67,5511960132339,https://actana.com.br/wp-content/uploads/site/gerar-boleto-com-codigo-de-barras.png,03/30/23,23255
Jimbo Jones,657.252.644-00,5511960132340,https://actana.com.br/wp-content/uploads/site/gerar-boleto-com-codigo-de-barras.png,03/30/23,"2597,41"
Barney Gumble,372.681.036-40,5511960132341,https://actana.com.br/wp-content/uploads/site/gerar-boleto-com-codigo-de-barras.png,08/30/23,6820
Nelson Muntz,625.237.117-41,5511960132342,https://actana.com.br/wp-content/uploads/site/gerar-boleto-com-codigo-de-barras.png,08/30/23,"37586,93"
Kent Brockman,217.261.302-13,5511960132343,https://actana.com.br/wp-content/uploads/site/gerar-boleto-com-codigo-de-barras.png,01/03/23,8080
Troy McClure,742.636.716-14,5511960132344,https://actana.com.br/wp-content/uploads/site/gerar-boleto-com-codigo-de-barras.png,01/03/23,"6556,2"
Squeaky-Voiced Teen,285.942.285-22,5511960132345,https://actana.com.br/wp-content/uploads/site/gerar-boleto-com-codigo-de-barras.png,01/03/23,"656,2"
Mayor Joe Quimby,506.255.252-40,5511960132346,https://actana.com.br/wp-content/uploads/site/gerar-boleto-com-codigo-de-barras.png,02/28/23,"2035,26"
Gil Gunderson,221.084.809-46,5511960132347,https://actana.com.br/wp-content/uploads/site/gerar-boleto-com-codigo-de-barras.png,01/30/23,15200
Snake Jailbird,655.090.311-04,5511960132348,https://actana.com.br/wp-content/uploads/site/gerar-boleto-com-codigo-de-barras.png,03/30/23,1560
Waylon Smithers,105.870.572-37,5511960132349,https://actana.com.br/wp-content/uploads/site/gerar-boleto-com-codigo-de-barras.png,05/30/23,41400
Lenny Leonard,113.837.159-09,5511960132350,https://actana.com.br/wp-content/uploads/site/gerar-boleto-com-codigo-de-barras.png,03/30/23,29415
Lionel Hutz,559.644.020-73,5511960132351,https://actana.com.br/wp-content/uploads/site/gerar-boleto-com-codigo-de-barras.png,03/30/23,5675
Principal Skinner,000.000.000-00,5511960132352,https://actana.com.br/wp-content/uploads/site/gerar-boleto-com-codigo-de-barras.png,01/09/23,6345
Superintendent Chalmers,140.766.271-43,5511960132353,https://actana.com.br/wp-content/uploads/site/gerar-boleto-com-codigo-de-barras.png,01/10/23,5800
Hans Moleman,206.002.831-58,5511960132354,https://actana.com.br/wp-content/uploads/site/gerar-boleto-com-codigo-de-barras.png,08/30/23,"21738,5"
Homer Simpson,992.821.968-45,5511960132355,https://actana.com.br/wp-content/uploads/site/gerar-boleto-com-codigo-de-barras.png,03/30/23,5600
Hans Moleman,206.002.831-58,5511960132356,https://actana.com.br/wp-content/uploads/site/gerar-boleto-com-codigo-de-barras.png,08/30/23,"53793,5"
Captain McCallister,386.178.766-66,5511960132357,https://actana.com.br/wp-content/uploads/site/gerar-boleto-com-codigo-de-barras.png,03/30/23,9520
Captain McCallister,386.178.766-66,5511960132358,https://actana.com.br/wp-content/uploads/site/gerar-boleto-com-codigo-de-barras.png,03/30/23,1300
Apu Nahasapeemapetilon,187.545.755-36,5511960132359,https://actana.com.br/wp-content/uploads/site/gerar-boleto-com-codigo-de-barras.png,03/30/23,"1989,83"
Gil Gunderson,373.883.253-47,5511960132360,https://actana.com.br/wp-content/uploads/site/gerar-boleto-com-codigo-de-barras.png,03/30/23,31500
Gil Gunderson,373.883.253-47,5511960132361,https://actana.com.br/wp-content/uploads/site/gerar-boleto-com-codigo-de-barras.png,03/30/23,87780
Gil Gunderson,373.883.253-47,5511960132362,https://actana.com.br/wp-content/uploads/site/gerar-boleto-com-codigo-de-barras.png,03/30/23,6360
Kang,000.000.000-00,5511960132363,https://actana.com.br/wp-content/uploads/site/gerar-boleto-com-codigo-de-barras.png,01/23/23,"25797,26"
Dr. Hibbert,113.599.088-97,5511960132364,https://actana.com.br/wp-content/uploads/site/gerar-boleto-com-codigo-de-barras.png,08/30/23,"81886,47"
Martin Prince,365.691.234-89,5511960132365,https://actana.com.br/wp-content/uploads/site/gerar-boleto-com-codigo-de-barras.png,03/30/23,"50094,64"
Sherri and Terri,312.932.039-37,5511960132366,https://actana.com.br/wp-content/uploads/site/gerar-boleto-com-codigo-de-barras.png,03/30/23,"488,83"
Rainier Wolfcastle,115.926.257-97,5511960132367,https://actana.com.br/wp-content/uploads/site/gerar-boleto-com-codigo-de-barras.png,09/30/23,"80406,03"
Todd Flanders,151.824.409-67,5511960132368,https://actana.com.br/wp-content/uploads/site/gerar-boleto-com-codigo-de-barras.png,03/30/23,"12606,52"
Rod Flanders,000.000.000-00,5511960132369,https://actana.com.br/wp-content/uploads/site/gerar-boleto-com-codigo-de-barras.png,04/20/23,"12375,39"
Sideshow Mel,000.000.000-00,5511960132370,https://actana.com.br/wp-content/uploads/site/gerar-boleto-com-codigo-de-barras.png,03/30/23,"48109,75"
Rainier Wolfcastle,115.926.257-97,5511960132371,https://actana.com.br/wp-content/uploads/site/gerar-boleto-com-codigo-de-barras.png,03/30/23,"4225,24"
Moe Szyslak,000.000.000-00,5511960132372,https://actana.com.br/wp-content/uploads/site/gerar-boleto-com-codigo-de-barras.png,03/30/23,"39042,05"
Hans Moleman,206.002.831-58,5511960132373,https://actana.com.br/wp-content/uploads/site/gerar-boleto-com-codigo-de-barras.png,03/30/23,"6766,4"
Duffman,782.340.164-19,5511960132374,https://actana.com.br/wp-content/uploads/site/gerar-boleto-com-codigo-de-barras.png,03/30/23,"23001,13"
Mr. Burns,106.768.262-65,5511960132375,https://actana.com.br/wp-content/uploads/site/gerar-boleto-com-codigo-de-barras.png,03/30/23,"23035,32"
Ralph Wiggum,132.318.786-02,5511960132376,https://actana.com.br/wp-content/uploads/site/gerar-boleto-com-codigo-de-barras.png,03/30/23,"9127,72"
Rainier Wolfcastle,331.945.274-67,5511960132377,https://actana.com.br/wp-content/uploads/site/gerar-boleto-com-codigo-de-barras.png,03/30/23,1380
Rainier Wolfcastle,115.926.257-97,5511960132378,https://actana.com.br/wp-content/uploads/site/gerar-boleto-com-codigo-de-barras.png,09/30/23,"32093,97"
Sideshow Mel,735.968.217-62,5511960132379,https://actana.com.br/wp-content/uploads/site/gerar-boleto-com-codigo-de-barras.png,01/05/23,99000
Snake Jailbird,481.392.962-19,5511960132380,https://actana.com.br/wp-content/uploads/site/gerar-boleto-com-codigo-de-barras.png,03/30/23,3100
Waylon Smithers,589.838.210-16,5511960132381,https://actana.com.br/wp-content/uploads/site/gerar-boleto-com-codigo-de-barras.png,03/30/23,15660
Carl Carlson,124.002.600-60,5511960132382,https://actana.com.br/wp-content/uploads/site/gerar-boleto-com-codigo-de-barras.png,01/04/23,262200
Dr. Nick Riviera,846.392.159-73,5511960132383,https://actana.com.br/wp-content/uploads/site/gerar-boleto-com-codigo-de-barras.png,03/30/23,114000
Gil Gunderson,415.764.038-44,5511960132384,https://actana.com.br/wp-content/uploads/site/gerar-boleto-com-codigo-de-barras.png,03/30/23,4455
Gil Gunderson,415.764.038-44,5511960132385,https://actana.com.br/wp-content/uploads/site/gerar-boleto-com-codigo-de-barras.png,03/30/23,1500
Professor Jonathan Frink,226.374.926-49,5511960132386,https://actana.com.br/wp-content/uploads/site/gerar-boleto-com-codigo-de-barras.png,01/30/23,2310
Hans Moleman,618.853.670-46,5511960132387,https://actana.com.br/wp-content/uploads/site/gerar-boleto-com-codigo-de-barras.png,01/04/23,4400
Principal Skinner,848.551.965-80,5511960132388,https://actana.com.br/wp-content/uploads/site/gerar-boleto-com-codigo-de-barras.png,08/30/23,1590
Squeaky-Voiced Teen,000.000.000-00,5511960132389,https://actana.com.br/wp-content/uploads/site/gerar-boleto-com-codigo-de-barras.png,08/30/23,39960
Indústria Nuclear Springfield S.A.,17.046.104/0001-44,5511960132390,https://actana.com.br/wp-content/uploads/site/gerar-boleto-com-codigo-de-barras.png,01/04/23,3792
Waylon Smithers,105.870.572-37,5511960132391,https://actana.com.br/wp-content/uploads/site/gerar-boleto-com-codigo-de-barras.png,05/30/23,8050
Chief Wiggum,446.468.077-23,5511960132392,https://actana.com.br/wp-content/uploads/site/gerar-boleto-com-codigo-de-barras.png,02/05/23,7935
Chief Wiggum,446.468.077-23,5511960132393,https://actana.com.br/wp-content/uploads/site/gerar-boleto-com-codigo-de-barras.png,02/05/23,4140
Professor Frink,404.956.631-98,5511960132394,https://actana.com.br/wp-content/uploads/site/gerar-boleto-com-codigo-de-barras.png,03/30/23,"2838,19"
Jasper Beardly,106.298.058-24,5511960132395,https://actana.com.br/wp-content/uploads/site/gerar-boleto-com-codigo-de-barras.png,03/30/23,7580
Snake Jailbird,129.489.791-80,5511960132396,https://actana.com.br/wp-content/uploads/site/gerar-boleto-com-codigo-de-barras.png,03/30/23,8070
Mayor Joe Quimby,160.413.771-86,5511960132397,https://actana.com.br/wp-content/uploads/site/gerar-boleto-com-codigo-de-barras.png,08/25/23,83430
Cletus Spuckler,000.000.000-00,5511960132398,https://actana.com.br/wp-content/uploads/site/gerar-boleto-com-codigo-de-barras.png,03/30/23,"9393,37"
Duffman,786.595.281-23,5511960132399,https://actana.com.br/wp-content/uploads/site/gerar-boleto-com-codigo-de-barras.png,08/30/23,"159740,63"
